,title,year,month,journal,code,weight,code_label,id,gen_code
95,A stirring in the streets,1997,Jan,Newsweek,5,6.67,irrelevant,96,1
96,A surprising jog to the right,2003,Nov,U.S. News & World Report,5,6.67,irrelevant,97,0
97,A swampful of troubles,1983,Apr,U.S. News & World Report,2,6.67,"relinequality, implicit",98,1
98,A tale of two Austins,2000,Feb,U.S. News & World Report,1,1.0,"relinequality, explicit",99,0
99,A taxing change,2000,Jul,Time,1,6.67,"relinequality, explicit",100,1
100,A time to celebrate,2000,Jul,U.S. News & World Report,1,6.67,"relinequality, explicit",101,0
101,A triumph of moral force,1983,Oct,Time,5,6.67,irrelevant,102,0
102,A worker's tale,1987,May,Time,5,6.67,irrelevant,103,1
103,ADRIENNE RICH.,2012,Dec,Time,5,6.67,irrelevant,104,1
104,AMERICA THE ANXIOUS.,2012,Aug,Newsweek,1,6.67,"relinequality, explicit",105,1
105,Abolish the IRS? Dream on,1997,Oct,Newsweek,1,6.67,"relinequality, explicit",106,0
106,About Those Categories . . .,2006,Jan,Newsweek,5,6.67,irrelevant,107,0
107,Adventures in equities/World of Business,1992,Feb,Time,4,10.0,"releconomy (employment, economy)",108,1
108,Affirmative Inaction?,1995,Jun,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),109,0
109,"After Sununu, the challenge on the right",1991,Dec,Newsweek,5,6.67,irrelevant,110,0
110,After You! We Insist!,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),111,0
111,After the Plant Closed Down,2009,May,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),112,1
112,After the meltdown of '87,1987,Nov,Newsweek,2,6.67,"relinequality, implicit",113,0
113,After the storm passes,1999,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),114,1
114,Aftershocks of the me decade,1981,Aug,Time,5,6.67,irrelevant,115,1
115,Ahead for Heating Oil Users: a Record-Shattering Winter,2008,Jan,U.S. News & World Report,5,6.67,irrelevant,116,1
116,All in the family,1996,Dec,Newsweek,5,6.67,irrelevant,117,1
117,All the news that's fit to suppress,1982,Oct,Newsweek,5,6.67,irrelevant,118,0
118,America the open,1995,Jul,Newsweek,1,1.0,"relinequality, explicit",119,1
119,America's Bull Run: Can We Keep It Going?,2008,Jan,U.S. News & World Report,1,6.67,"relinequality, explicit",120,1
120,America's Dumbest Budget Cut.,2011,Jul,Newsweek,4,6.67,"releconomy (employment, economy)",121,1
121,America's Next Stimulus Plan,2009,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",122,1
122,America's scandalous health care: here's how to fix it,1990,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",123,1
123,America--at ease with computers,1986,Feb,U.S. News & World Report v. 100 (February 17 1986) p. 72,4,6.67,"releconomy (employment, economy)",124,1
124,Americans Bet on International Funds,1985,Aug,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),125,0
125,Americans marry too much,2009,Aug,Newsweek,5,6.67,irrelevant,126,0
126,Among Friends,1983,Aug,Time,5,10.0,irrelevant,127,1
127,Among the believers,1999,Jul,Newsweek,5,6.67,irrelevant,128,1
128,An Economic Feud at the White House,1983,Oct,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),129,1
129,An Election-Year Tax Increase?,1982,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),130,1
130,An Immigration Brawl,2006,Apr,U.S. News & World Report,5,6.67,irrelevant,131,0
131,An Implausible Populist.,2011,Oct,Time,2,6.67,"relinequality, implicit",132,1
132,An Oil Tax Makes Sense,1987,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),133,1
133,An agenda bedeviled by the deficit,1993,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),134,0
134,An early Christmas at Chrysler,1985,Nov,Time,2,6.67,"relinequality, implicit",135,1
135,An early labor endorsement,1983,Aug,Newsweek,5,6.67,irrelevant,136,1
136,"And Now, the Spoils Society",1985,Dec,Newsweek,1,10.0,"relinequality, explicit",137,1
137,"And now, a domestic summit",1985,Dec,Newsweek,2,6.67,"relinequality, implicit",138,1
138,Anguish of the jobless,1982,Jan,Time,2,6.67,"relinequality, implicit",139,1
139,Another victory for Solidarity,1980,Nov,Time,5,6.67,irrelevant,140,1
140,Anybody recognize this place?,2001,May,Time,5,6.67,irrelevant,141,1
141,Are We Broke Yet?,2009,Sep,Time,4,6.67,"releconomy (employment, economy)",142,0
142,Are raises bad for America?,1999,Aug,U.S. News & World Report,2,6.67,"relinequality, implicit",143,0
143,Armenia,1988,Nov,Time,5,6.67,irrelevant,144,1
144,Armenians: 'We are not slaves of Moscow',1988,Mar,Newsweek,5,6.67,irrelevant,145,0
145,As for investments ,1986,May,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),146,0
146,As inevitable as death and taxes,1983,May,U.S. News & World Report,5,6.67,irrelevant,147,0
147,"As unemployment rises, so do benefit frauds",1982,May,U.S. News & World Report v. 92 (May 31 1982) p. 72-3,2,6.67,"relinequality, implicit",148,0
148,Asian Wisdom,2010,Dec,Newsweek,4,6.67,"releconomy (employment, economy)",149,0
149,At last: prices go into reverse,1982,May,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",150,1
150,Attack!The Truth About Obamacare,2009,Aug,Newsweek,4,6.67,"releconomy (employment, economy)",151,0
151,Avoid 'climate' control,1998,Nov,U.S. News & World Report,5,6.67,irrelevant,152,0
152,Avoiding a Deep Recession,2008,Oct,U.S. News & World Report v. 145 no. 9 (October 27 2008) p. 92,3,6.67,relchanges (income/wages/earnings/etc.),153,1
153,Baby boomers come of age,1981,Mar,Newsweek,1,6.67,"relinequality, explicit",154,0
154,Baby-boom generation runs into reality,1981,Sep,U.S. News & World Report,5,6.67,irrelevant,155,1
155,Back in the 'Hood Again,2004,May,U.S. News & World Report,5,10.0,irrelevant,156,1
156,Back into the tax maze,1997,Aug,Time,1,10.0,"relinequality, explicit",157,1
157,Back on the beat,2002,Apr,U.S. News & World Report,5,6.67,irrelevant,158,1
158,Back to business,2001,Dec,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),159,1
159,Bad tidings for big labor,1981,Jan,Newsweek,2,6.67,"relinequality, implicit",160,1
160,Baiting the Soviet bear,1981,Sep,Time,5,6.67,irrelevant,161,1
161,Balancing the Budget - Congress Has Its Own Ideas,1980,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",162,0
162,Bankruptcy as an escape hatch,1984,Mar,Time,2,6.67,"relinequality, implicit",163,1
163,Basra Breakdown,2006,May,Newsweek,5,10.0,irrelevant,164,0
164,Battleground Chicago,1995,Apr,Newsweek,5,10.0,irrelevant,165,0
165,Be our guest,2001,May,U.S. News & World Report,1,6.67,"relinequality, explicit",166,1
166,Bearer of Bad Tidings,1983,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),167,1
167,Beaucoup bucks,2002,Feb,U.S. News & World Report,5,6.67,irrelevant,168,1
168,Before the party starts,2001,Feb,U.S. News & World Report,1,6.67,"relinequality, explicit",169,0
169,"Behind Gains in On-the-Job Health, Safety",1984,Jun,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",170,1
170,Bell's departure stirs up the right,1984,Nov,U.S. News & World Report,5,6.67,irrelevant,171,0
171,Bentsen on the burner,1993,Jun,Time,2,6.67,"relinequality, implicit",172,1
172,Best Careers,2008,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",173,0
173,Best of the decade,1990,Jan,Time,5,6.67,irrelevant,174,1
174,Bias Or Safety?,1989,Oct,Time,5,10.0,irrelevant,175,1
175,Bidding War for Tax Votes,1981,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),176,1
176,Big Brown's union blues: the UPS strike reflects wide worry about part-time jobs,1997,Aug,Newsweek,1,6.67,"relinequality, explicit",177,1
177,Big Business Pulls Out,1986,Nov,Newsweek,5,10.0,irrelevant,178,1
178,"Big Families can be happy, too",1985,Jan,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),179,0
179,Big Government to the Rescue,2008,Sep,Newsweek v. 152 no. 13 (September 29 2008) p. 22-3,3,6.67,relchanges (income/wages/earnings/etc.),180,1
180,Big Guys Win Again. This Is Tax Reform?,2005,Nov,Newsweek,1,1.0,"relinequality, explicit",181,0
181,Big Worker Blues,2004,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",182,0
182,Big mouths,1993,Nov,Time,5,6.67,irrelevant,183,0
183,"Big promises, big problems",2003,Mar,U.S. News & World Report,5,6.67,irrelevant,184,0
184,Biz blahs and blame,2001,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",185,1
185,Black conservatives will find an audience,1994,Dec,U.S. News & World Report,5,6.67,irrelevant,186,0
186,Blame the deficit on excessive government spending,1991,Aug,U.S. News & World Report,2,6.67,"relinequality, implicit",187,1
187,Blessed Is the Full Plate,2007,Nov,Newsweek,1,6.67,"relinequality, explicit",188,1
188,Blowing off some steam,1988,May,Time,1,6.67,"relinequality, explicit",189,1
189,Blowup,1983,Apr,Time,5,6.67,irrelevant,190,0
190,"Blue Truth, Red Truth",2004,Sep,Time,5,6.67,irrelevant,191,0
191,Bob Dole's old growth theory,1996,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),192,0
192,Bob Reich's job market,1994,Mar,Newsweek,1,6.67,"relinequality, explicit",193,1
193,Bogus Shelters for the Stars,1985,May,Time,5,10.0,irrelevant,194,1
194,Boiling Tea,2010,Nov,Time,3,6.67,relchanges (income/wages/earnings/etc.),195,1
195,Bombarding Reagan's Budget,1984,Feb,Time,3,10.0,relchanges (income/wages/earnings/etc.),196,0
196,Borderline War,2003,Sep,U.S. News & World Report,5,10.0,irrelevant,197,1
197,"Bound, gagged and at debt's door",1996,Jan,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",198,0
198,Bowling together,1996,Jul,Time,5,6.67,irrelevant,199,0
199,Boys of summer return,1981,Aug,Time,5,6.67,irrelevant,200,0
200,Brave new economy,1986,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",201,0
201,Breakdown: How the Budget talks fell apart,1996,Jan,Time,1,10.0,"relinequality, explicit",202,0
202,Breaking through: Clinton pushes his economic plan through the House and gains a chance to reshape the Supreme Court,1993,Mar,Time,5,6.67,irrelevant,203,0
203,Bridging the bitter incomes divide,1994,May,U.S. News & World Report,1,1.0,"relinequality, explicit",204,1
204,Bridging the costly skills gap,1993,Jan,U.S. News & World Report v. 114 (January 25 1993) p. 61-3,1,6.67,"relinequality, explicit",205,1
205,Bridging the digital divide,1999,Sep,Newsweek,1,1.0,"relinequality, explicit",206,1
206,Briefing.,2012,Dec,Time,4,6.67,"releconomy (employment, economy)",207,0
207,Briefing: Sports,2012,Oct,Time,5,6.67,irrelevant,208,1
208,Brown's new fad: a flat tax,1992,Apr,U.S. News & World Report,1,6.67,"relinequality, explicit",209,0
209,Bubble trouble?,1998,May,Newsweek,1,6.67,"relinequality, explicit",210,1
210,Budget Deal,1983,Jul,Time,1,10.0,"relinequality, explicit",211,1
211,Budget-Limit Bandwagon Picks Up Speed,1982,Aug,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),212,1
212,Bull market in personal secrets,1980,Jul,Time,5,6.67,irrelevant,213,1
213,Bush Plays Budget Chicken,1989,Jan,Newsweek,1,10.0,"relinequality, explicit",214,1
214,Bush marching to is own beat,1989,Feb,U.S. News & World Report,2,10.0,"relinequality, implicit",215,1
215,Bush's Capital Gains Obsession,1990,Oct,Newsweek,1,10.0,"relinequality, explicit",216,1
216,Bush's Jobs Albatross,2004,Sep,Newsweek,1,6.67,"relinequality, explicit",217,0
217,Bush's Mr. Wrong,2004,May,Newsweek,5,10.0,irrelevant,218,0
218,Bush's News War,2003,Oct,Newsweek,5,10.0,irrelevant,219,1
219,Bush's Spanish Lessons,2006,May,Newsweek,5,6.67,irrelevant,220,0
220,Bush's Supreme Challenge,2003,May,Time,5,6.67,irrelevant,221,0
221,Bush's Tax Surprise,2003,Jan,Time,1,6.67,"relinequality, explicit",222,1
222,Business is booming for union busters,1983,May,U.S. News & World Report,1,6.67,"relinequality, explicit",223,1
223,Buying into a recovery,2001,Dec,Time,3,6.67,relchanges (income/wages/earnings/etc.),224,1
224,"Bye, bye old American pie",1995,Dec,U.S. News & World Report,1,10.0,"relinequality, explicit",225,0
225,CEOs sound the warning,2001,Aug,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),226,1
226,"CEOs: No Pain, Just Gain/Business",1991,Apr,Time,1,10.0,"relinequality, explicit",227,0
227,COLD WARRIOR.,2012,Mar,Time,5,6.67,irrelevant,228,1
228,CORY BOOKER SCHOOLS AMERICA.,2011,Sep,Newsweek,4,6.67,"releconomy (employment, economy)",229,1
229,Call Me Mr. Sunshine,2009,Mar,Time,3,6.67,relchanges (income/wages/earnings/etc.),230,1
230,Call it the flaky tax,1996,Jan,Newsweek,1,6.67,"relinequality, explicit",231,1
231,Call off the war on gays,1998,Aug,U.S. News & World Report,5,6.67,irrelevant,232,0
232,Campaign '80: jobs,1980,Sep,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),233,0
233,Can He Step Up His Game?,2011,Sep,Time,4,6.67,"releconomy (employment, economy)",234,0
234,Can He Win By Losing?,2010,Dec,Time,2,6.67,"relinequality, implicit",235,1
235,Can Reagan Keep Control?,1983,Feb,U.S. News & World Report,2,10.0,"relinequality, implicit",236,0
236,Can anybody here play this game?,2001,Jul,Newsweek,4,6.67,"releconomy (employment, economy)",237,1
237,Can anyone spare a job?,1993,Jun,Newsweek,2,6.67,"relinequality, implicit",238,1
238,Can anyone turn tide on inflation?,1981,Jan,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),239,0
239,Can the Fed avert a costly shipwreck?,2000,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),240,0
240,Candidate for the Status Quo,2000,Aug,Newsweek,1,10.0,"relinequality, explicit",241,1
241,Capital flight from America?,2000,Oct,Newsweek,4,6.67,"releconomy (employment, economy)",242,1
242,Capitol gridlock,1991,Dec,Newsweek,1,6.67,"relinequality, explicit",243,0
243,Careers to count on,2002,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",244,0
244,Cash and Kerry,2004,Feb,Newsweek,5,6.67,irrelevant,245,1
245,Cat purrs,1983,May,Time,2,6.67,"relinequality, implicit",246,0
246,Center Court,2003,Jul,Newsweek,5,6.67,irrelevant,247,1
247,Challenges that Reagan faces now,1982,Nov,U.S. News & World Report,2,6.67,"relinequality, implicit",248,0
248,Changes to Expect in Your Social Security,1981,May,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),249,0
249,Changind Sides,1984,Mar,Time,5,10.0,irrelevant,250,0
250,Changing America's Energy Ways,2009,Apr,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",251,1
251,Changing profile of the U.S. labor force,1985,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),252,1
252,Chaos in Taxachusetts,1980,Dec,Newsweek,1,10.0,"relinequality, explicit",253,1
253,Cheering the Nice Capades,1996,Jul,Newsweek,5,6.67,irrelevant,254,0
254,Circles of Hatred,2003,Mar,Newsweek,5,10.0,irrelevant,255,0
255,Clarification,2006,Dec,Newsweek,5,6.67,irrelevant,256,0
256,Class Act,1997,Feb,Time,1,10.0,"relinequality, explicit",257,1
257,Clean-Up Time,1999,Mar,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),258,1
258,Cliff Hanger.,2012,Dec,Time,2,6.67,"relinequality, implicit",259,0
259,Clinton signals labor he will be a friend,1993,Feb,Time,5,6.67,irrelevant,260,1
260,Clinton's high-tech high-wire act,1993,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),261,0
261,Clinton-inspired tax tactics,1992,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",262,0
262,"Clip, clip here, clip, clip there",1993,Feb,Time,2,6.67,"relinequality, implicit",263,1
263,Closing the gap with the West,1980,Jun,Time,5,6.67,irrelevant,264,1
264,Coming Along Just Fine,1985,Apr,Time,3,10.0,relchanges (income/wages/earnings/etc.),265,1
265,Coming Out Party,2003,Oct,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),266,0
266,Computer revolution,1984,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),267,1
267,Congress Flunks Out On Deficit,1986,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",268,1
268,Conservatism with a human face,1988,Sep,U.S. News & World Report,5,6.67,irrelevant,269,0
269,"Conservatism, McCain style",2000,Mar,Newsweek,1,6.67,"relinequality, explicit",270,1
270,Conservatism: Not TBTF,2008,Jul,Newsweek,2,6.67,"relinequality, implicit",271,1
271,Conspiracy Of Two.,2011,Jul,Time,2,6.67,"relinequality, implicit",272,0
272,Corporate Kleptocracy,2004,Sep,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),273,1
273,Correcting His Posture,1995,Nov,Time,4,10.0,"releconomy (employment, economy)",274,1
274,Correction,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,275,0
275,Correction,2007,May,U.S. News & World Report,5,6.67,irrelevant,276,1
276,Corruption of the jean pool,1999,Mar,Time,5,6.67,irrelevant,277,0
277,Cost-shopping for care,1992,Jul,U.S. News & World Report,5,6.67,irrelevant,278,0
278,Costly present,1982,Jun,Time,5,6.67,irrelevant,279,0
279,"Could You Just Leave Us Alone, Please? (cover story)",2012,Feb,Time,2,6.67,"relinequality, implicit",280,0
280,Crackdown,1985,Nov,Time,5,6.67,irrelevant,281,1
281,Cracks in the Economy,2007,Sep,Time,3,6.67,relchanges (income/wages/earnings/etc.),282,0
282,Credit crunch is on,1980,Mar,Newsweek,2,6.67,"relinequality, implicit",283,0
283,Credits for college,2002,Apr,U.S. News & World Report,5,6.67,irrelevant,284,1
284,Crime and punishment,1982,Aug,U.S. News & World Report,5,6.67,irrelevant,285,0
285,Crumbs for the majority,1996,Feb,U.S. News & World Report,1,1.0,"relinequality, explicit",286,1
286,Crying Over Spilt Milk,2008,May,Newsweek,4,6.67,"releconomy (employment, economy)",287,1
287,Cuomo vs. Bush: the blame game,1991,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",288,1
288,Cutting bitter lives short,1992,Jul,U.S. News & World Report,5,6.67,irrelevant,290,0
289,Cutting unemployment: what experts would do,1983,Sep,U.S. News & World Report,2,6.67,"relinequality, implicit",291,0
